2024-08-14 18:47:58,779 | INFO | ulauncher: main() | Ulauncher version 5.15.7
2024-08-14 18:47:58,779 | INFO | ulauncher: main() | Extension API version 2.0.0
2024-08-14 18:47:58,779 | INFO | ulauncher: main() | GTK+ 3.24.43
2024-08-14 18:47:58,779 | INFO | ulauncher: main() | Is Wayland: True
2024-08-14 18:47:58,779 | INFO | ulauncher: main() | Wayland compatibility: on
2024-08-14 18:47:58,792 | DEBUG | ulauncher.ui.windows.Builder: __init__() | consider using a pythonic name instead of design name 'input-box'
2024-08-14 18:47:58,795 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','destroy', 'on_destroy'
2024-08-14 18:47:58,795 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_in_event', 'on_focus_in_event'
2024-08-14 18:47:58,795 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_out_event', 'on_focus_out_event'
2024-08-14 18:47:58,795 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'input','key_press_event', 'on_input_key_press_event'
2024-08-14 18:47:58,796 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_input_changed'
2024-08-14 18:47:58,796 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_about_activate'
2024-08-14 18:47:58,796 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_close_activate'
2024-08-14 18:47:58,796 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_preferences_activate'
2024-08-14 18:47:58,796 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_preferences_dialog_destroyed'
2024-08-14 18:47:58,797 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2024-08-14 18:47:58,798 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 960, H: 540
2024-08-14 18:47:58,807 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2024-08-14 18:47:58,807 | INFO | ulauncher.api.server.ExtensionServer: _start_thread() | Starting WS server on port 5054
2024-08-14 18:47:58,807 | INFO | ulauncher.search.apps.app_watcher: start() | Started scanning desktop dirs
2024-08-14 18:47:58,814 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 33 apps in cache
2024-08-14 18:47:58,819 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.friday.ulauncher-clipboard" started. PID 23319
2024-08-14 18:47:58,820 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.tchar.ulauncher-albert-calculate-anything" started. PID 23321
2024-08-14 18:47:58,821 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.hillaryychan.ulauncher-fzf" started. PID 23323
2024-08-14 18:47:58,822 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.nastuzzisamy.ulauncher-custom-scripts" started. PID 23325
2024-08-14 18:47:58,823 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.kuenzelit.ulauncher-firefox-bookmarks" started. PID 23327
